u_puuid,v_puuid,games,wins,first_ts,last_ts,winrate
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,AgodVGYKTkA-k8r-w7tEQzfNEWOTpZ2Ce77SD7s9_N_8d8vFPWHxkqTxCzx-kLCjuELcKooq5puQtg,1,0,1770591012855,1770591012855,0.0
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,Fo3ED0QrQHmhU4h6ooxUsy2n9tYp8GV6g8ZyIUxOIUJ_y2dieStNYCcg56VCqCR6Ikf7V_gCb1Gf8g,1,0,1770591012855,1770591012855,0.0
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,vML3jA-7rs8X5yWjshIq_d45ec77BOgBmmc0dBy2_7hESN8jzFG7bKUwG4eVBdsm7FWnSBs-GQVp9w,1,0,1770591012855,1770591012855,0.0
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,vtdrlg9GKXFdze68ogK5a6CF5jIYiGysNVJEEd3FKhlLFN1XtYLYNV0kO-agvCzqagz4yNmlBOnatQ,1,0,1770591012855,1770591012855,0.0
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,Pihnc9dRrB13c308xUlTl1etfkJvNQoY6LBU7raVKvL4QNoInThCaDhywOMRZwYQ9SNwSpvTW1OLxA,1,1,1770591012855,1770591012855,1.0
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,Tll16syKPnCz2WhuFs9ZFw2b3sWx0-XcpznfHUCasNoDemlXKS_XAO0bM7jDlcPr5zn3Sr6RXlpv4A,1,1,1770591012855,1770591012855,1.0
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,ozn789lbEa1YbSwyNpCw3CorzQIs4_y2JhDDedvm98jSaHjwpdkElCTVWCkdfZhh4RYXpZ3NiR4ppw,1,1,1770591012855,1770591012855,1.0
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,wOJHzk0at18uYUD4ogy7kxnvzh8K6Zpw7U7LYsUa5JYGsOIU8Nvq8qSsu779gFt1R3coDfH7SUlrOQ,1,1,1770591012855,1770591012855,1.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,0KVLMS96bFk69F1g8TUeDwtECnh-bcReVC1kY3Uks7bDNAGCmu7GfwxRNEnRvK1lEFlum16lV7YzEw,1,0,1770664827472,1770664827472,0.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,Spb7lYMPOIzPqTEhsOk11QKFOMYcLsJ8itmbXyOSMQPy4nW3MFz10kRxJqZtXPSL9quTaDb7RSzVCg,1,0,1770664827472,1770664827472,0.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,evr88tUbpOJAwVfv8SHlX73blqaWoyYyrcfcW-9nqe7wDO4s6HC4MVRXspcXoFfyUWPm9neL5OXuBA,1,0,1770664827472,1770664827472,0.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,xbzKVZmk0JSo8aFUJi9u0p1NZ18OMI0gbctg5w0TioNOeR9KsIvO109VUUsQ0nXzVrekehKBKbLAZw,1,0,1770664827472,1770664827472,0.0
-76-rpoZgqj6dH5WCgedG1TAoyxv-hP9Zf0zBQVM2bymrkodmCe30Hlimz5MPDhqCq3d5QLOlncTsg,4bIntUmUf33SIDkWrmvP7alRY-NGBOCYAIzI8o7zVRwtHMvKi9pZHI9m3QTFVBQppL-9DyfeEeZM2w,1,0,1770660449854,1770660449854,0.0
-76-rpoZgqj6dH5WCgedG1TAoyxv-hP9Zf0zBQVM2bymrkodmCe30Hlimz5MPDhqCq3d5QLOlncTsg,Br0YvRkCSlGi1XbY75YfgSmnv4UpUCplxL9xSX_xc2NCHvxmr9dBPfKKb4lSOqyNkSGRKdY2BqStCA,1,0,1770660449854,1770660449854,0.0
