puuid,games,wins,winrate
-0E40q4uqah-byxxuyesyOu8gHiMSqrbkwUg8mNVWo1hWk_dKOfIPXI_zAsl1f_nVsIr0vGEvQy48w,1,0,0.0
-0G_OoqQ7LP3wzI8EZ6OdTZN6R4pKZP5AJUc607iCBjBqILtYAfNI_pU6W6OH0uQjaU1CggvhyMEKQ,1,0,0.0
-25gVepiTSB4GfK1q_ASz_x1z_9CMXpIi_wGUY3n5-2LmIVIsvNf7BOhoyNXJ1FjZ_t4RAhKUCK5ZA,1,1,1.0
-2NbUkfbe19Mf5mW3iCgBuz_aTsQ725y5C-W8c3HtS57LsxNPySow-aErIHOT99MiVKy8rCF8-FMSQ,1,0,0.0
-3fqiv0F1Oa0N6QBhNBqkImU_YxwUfH0iyUWXt0SzG5k9H-6yFw9Sx71UpUMOwapwEWciTw5gdESNA,1,0,0.0
-3urMusAm56pGx4vNbYOupxasWYvNys4PcVB5a3b8OhiGPxh7jkqeMcqtCRyfuUvCTsIEyK3e5U4Fg,1,0,0.0
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,1,0,0.0
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,2,2,1.0
-4m2dKgEVmqtifKANksknjqDM3IQUeuMjBF_kP9rdojodOtIOU_rEZcxbUYL-aNnFwm1kd7CXdiYNA,1,0,0.0
-5KUAUB1E4H7wY5N8h86JFRUe_0jlFR6xp287sXIqUb90a6YVOeQbe8mUN53srtxm86O7xjTRqaYGg,1,1,1.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,1,0,0.0
-6RtIqGQ0juluw4-EuabKuSAnGFwFC9bfLSf0uMcTjJhfdcxRPoMJD6a-4SVP3Daa4MsztDYZcLQAw,1,1,1.0
-6tEAdeK6Zldjbx-T2fzdfC99-gHvKxRsYolM-hhDYXU1vpjTA7Z6zGtJwGgcRsf1laggatGLwTCBA,1,1,1.0
-76-rpoZgqj6dH5WCgedG1TAoyxv-hP9Zf0zBQVM2bymrkodmCe30Hlimz5MPDhqCq3d5QLOlncTsg,1,0,0.0
-7UyDpR2lskQ-7l4jjXefF7WCbJKqkc28MQ4MRUBBPgauVtKPy2t7FX4c3twpyy4YeCvsNCe0NeAog,1,0,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,3,2,0.6666666666666666
-8W1daM4i8YV7LCJqkEu3LSApDS_oZxGhSwFZrhlhgGQX-s2crwTuWVnwWNys0meCiJj03zdm_bQ0w,1,1,1.0
-8etzxP73XfIl-k_BI8ADiA3rQfEY_0r7wkbKstOYRyjGcpnJkG7MbG7qb_yGbZE_P59amQ0tc61dw,1,0,0.0
-9LCTED099c9vASW_bAlk8x61AW41Yv0hA9Rl-tS_1_uO19QiSLU_vXqkWjQ1_CpsATSOvnQUb39LQ,1,1,1.0
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,1,0,0.0
-A0I2J1Sx6mmRGiBp2UTxfTMbj-JOfLWkTyiOsiAqZixIqFcZujdLBkgpYyJlzHG49mRvFD1leATvQ,2,1,0.5
-AMFSs6aeQg6NHwVFEECXB9_jQDehvPxWwSMidOvhR3CtA6o9fQvZVLqL17kMBAr40FUapzulB2f3w,1,0,0.0
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,2,1,0.5
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,14,8,0.5714285714285714
-DxHaV-xoIY8HCuGrHSd8ZK3lIchoPVb-4p9kfNNpYlisywP-pVJTlEGLmR8TpSQlWTl7saMDXCJTg,1,1,1.0
-E7eMpDx6ittIorsU3umr8ZSQqRl9gGGH4Xppcvj3ctVkOz9xrMLqUeM0gViJFCoQONseL1M4_c0Ug,1,0,0.0
-ENiltNGSmimgGHNyKFBB4JwgbA-w8A3wtNG8wwC4VKBbCgsOtt-bPRcHlJ9PQOgOZuliDzYB0a5hw,1,0,0.0
-EVA5Z7wejNGFa-pSg285ajC-bHPQPz2pCTIT2TpB6nzNpPUntp1t0yuQ4KE_xiP5HbaFE9rNgpQLA,1,0,0.0
-F3AlFq8cG7ZT8k15fKoBMvwPVwwAl1U4FYc8CtLCiXjEmtu1bY6JgaAWIl_AhXJQzFjVAd3b0qF1A,1,0,0.0
-FKONnwd-T6cDGoFc8SmWf_fd7984sn9z7OwFItBNpT1SBO_xnNQiBG2pPorAVdN7PpofxGJgKNDQQ,1,0,0.0
-FeD1_UU15qPj3ilFnmK7Gl4sfXP6AAveyMHBW0n5BZ0e_O9Y68opc00TeX-bqPy43cOqRdkF4clow,1,1,1.0
-HwL8awCz3E7MdM8U-EvbZu8iCMD9LaO36_lmOJptN-uYaIB4fK2ia20hEYp9_S1-M2ZWfeijR3qXw,1,0,0.0
-I69ev3yhaw1bGsOfrqNNki1jhC6qFAcsM8WQJk-sqMGisFYC62VmUuyDGOwfgZ3jKon1_876Sko2w,1,0,0.0
-JLRz5VbyOieQ62hOTaXcV86vTK3YRQfv5aac18nLsM0OUgXSJQQS6yu-k2u2Xk7kvz_mB9NFI8qSg,3,3,1.0
-JMhZZKMvC_zSp6CXONFRcMaj1nCYaAiaJqS0aYXrxutHqWrTDe6pm7S4Za1Q3piq-u-RBt71woILg,1,1,1.0
-JqcBIUWKRuV522ON9ru4OupKjY8K17TEUcnK1gDmy7Fj8NG2-4MNmkPkVUp79lmwL77FJk2QdbC1A,1,0,0.0
-MMS4-HV5-kI7y0wDMBzJxU4CtnM5McOdFlOer7pxoDRE-b1fweYoLLrRBegjs8TLc1J7TL6fek_lw,2,1,0.5
