puuid,games,wins,winrate
--1llZX0MOcH-5Gz93Un4tXTnNSDIPhgOUZgAl2KgTm7KkhV6P3G10QqoWWEN4z3B-M7GCtE8eEz_w,1,0,0.0
--ECQVff51cZ9SjjoLd3-cBbyDTdgu5Zy4xKc7B-VDfqU-kXkl3T6Qjco4AP4ogENeArCxMQjvldmw,1,1,1.0
--fSqm2qs-o9Me6a0TCsKkBuXNwe8ZKY9ODhSJqsbmn4HdHPpe3yJatHSxYb7usyAZP2TGmPItSeNA,1,1,1.0
-0E40q4uqah-byxxuyesyOu8gHiMSqrbkwUg8mNVWo1hWk_dKOfIPXI_zAsl1f_nVsIr0vGEvQy48w,1,0,0.0
-0G_OoqQ7LP3wzI8EZ6OdTZN6R4pKZP5AJUc607iCBjBqILtYAfNI_pU6W6OH0uQjaU1CggvhyMEKQ,1,0,0.0
-0lvcYlwjeLK9p04ifnF2iQvcBAixqfvMv2UW7SwCygdMYhwrKyMbRdPAYET9fjCXYnMVmGHT7G77A,2,1,0.5
-25gVepiTSB4GfK1q_ASz_x1z_9CMXpIi_wGUY3n5-2LmIVIsvNf7BOhoyNXJ1FjZ_t4RAhKUCK5ZA,2,1,0.5
-2NbUkfbe19Mf5mW3iCgBuz_aTsQ725y5C-W8c3HtS57LsxNPySow-aErIHOT99MiVKy8rCF8-FMSQ,1,0,0.0
-37SVReB3Jq21r9GN-zJWvKfZ2JaqZPwuCsNI35KAvwo9BdRqA0ukUvdz9RGaRhQQFzrv6LflxLHEQ,1,1,1.0
-3SEP4MPCgKtGE8CB2a46oh9gl6bDA4wfKbGrnIZnUezvNi1g3y_gaz6hWpPt33AsZ-caiz8B-c63Q,1,0,0.0
-3fkp7nuFXqqRWnJ384qziByT8nwm7jk-wO7pK7jyQPOZdqARdBZf5cnABUFNJ7n3lSvIyTI8M0TSA,1,0,0.0
-3fqiv0F1Oa0N6QBhNBqkImU_YxwUfH0iyUWXt0SzG5k9H-6yFw9Sx71UpUMOwapwEWciTw5gdESNA,1,0,0.0
-3urMusAm56pGx4vNbYOupxasWYvNys4PcVB5a3b8OhiGPxh7jkqeMcqtCRyfuUvCTsIEyK3e5U4Fg,1,0,0.0
-4C7fE_7lLo0UlbIA145oJ2V6kdhdA2wyuRDjfjS0ARA6UQ-BpYgakV0odUZAc83RKPY65EqBSJveQ,1,0,0.0
-4GN-3cfYmDUur9MumVM4kTfjEmj64fomd19JWtS0twvgDnmqtTXi0oUTo1QS3GXgGuOeUiAYWuCTg,1,0,0.0
