puuid,games,wins,winrate
--1llZX0MOcH-5Gz93Un4tXTnNSDIPhgOUZgAl2KgTm7KkhV6P3G10QqoWWEN4z3B-M7GCtE8eEz_w,4,0,0.0
--BLr7axz1E7cnvtL8q7CMQFflQ47O5PUj1RmXvUq0XlisdwgR_4lmAY7zz44z9EJTDysrIlndqWxA,1,1,1.0
--CRgWNK2ZxFx3I3RHXMoUWoxMlY6tB-SY2vZhdRqwg-BBxwgf032aDnQMFj7ggnCd21lMjHcpdO2Q,4,1,0.25
--fSqm2qs-o9Me6a0TCsKkBuXNwe8ZKY9ODhSJqsbmn4HdHPpe3yJatHSxYb7usyAZP2TGmPItSeNA,1,0,0.0
--groBCYruGOHhcDol9k8vCbYfioG0GlvOSF4V0gJsMJQdac8XSjdaW3fu7AqDpRxrp_Ebi4vNWONg,1,0,0.0
--kacjrykg1mNTA9mTpVeiHpNBVpY4wVsB9ndhr2F-r2NUi5RnYzle9S9wLHn60ZzwWV-1vTT5PIzA,1,0,0.0
--kw6FtNoXI013THyQzrI-Onuehv4cumuy_dqDMnS_hNpunm27AeOYrCQi90rcIogZTAGRP4WrQnIg,1,0,0.0
--rURmTi37uRjvAiKW2U9D9v6e0vWpzHQC686ZczbILiM5xsIuxWnzQtqOmXfBuJIpfw5LGvR7TI5g,1,1,1.0
-00sgBxeiFSW3NFlo3jsjKJO__yh1H2zkenxfUlh_29Q5Zni2aUMTRPMgE_YjtbUBe5XR-4PxY3UUg,2,1,0.5
-0E40q4uqah-byxxuyesyOu8gHiMSqrbkwUg8mNVWo1hWk_dKOfIPXI_zAsl1f_nVsIr0vGEvQy48w,1,0,0.0
-0YMJBf59XnhYFU1xS1gRoJ0Ih18hPIY95VQZLSFY4N3yMKGKPrNYV-56HNZllaY8ylCZ_B6tcH7iA,6,2,0.3333333333333333
-0dIAwuudLfmRScNfb4iLwNhJZdaML5dfG0-_f_XWfQr_paJts1jqxgyULFcu_BbrLd42bt3pDI4Gw,5,3,0.6
-0jIoWjhtHJY7vmKJQcTfL6CvLeto5fDLvz1_RgeuAjyKWDzN47nzdcOAzDidM7S2O3upSSNSSZ3tA,1,1,1.0
-0mxGf8fcc0Uxz9uCND3W5NYVOAAaRqov7r-zDvWSA-DE_1HQZ0HXJKbXSwHl0eFUva9jRZ3rNyc8Q,1,1,1.0
-1UT9SdQtD-WimcI_Y4oa6ZxR6GUXgYdQpNbzJAgWVt6JKLaNKs5ahrHU6Ax3DVNHMyctTXWJLILyQ,1,1,1.0
-1gNqDq3CChtf-9Bv56mYu9KWe9JJQoxy8KvPG6oG8wzNiaTphH-GblBLvOLxstkErc6BlUFm7MGeA,1,0,0.0
