puuid,games,wins,winrate
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,2,0,0.0
-FeD1_UU15qPj3ilFnmK7Gl4sfXP6AAveyMHBW0n5BZ0e_O9Y68opc00TeX-bqPy43cOqRdkF4clow,1,1,1.0
3Nyez-HZNi9kICri80ZomrthLNERk6-NhtdJvvhmu3tI8h6zcQxUlcxUYK7UTGMur_gvPzPtQrVUtg,1,0,0.0
3ygP754BUOido5M8FFhWaaUT4g607F4Ct-q5PbHwdV8FbJlLHc9OHbc-QprptdHaHjYGcqUr3IbRNQ,2,0,0.0
5O81abIcIzxg2JeSTe-7UP6AE1qgp7VVT6sSx88vyElueRML0QWmdxr7pM61FyGF4r_X4ikDdi37uQ,1,0,0.0
6-A4VlcuvpB5dPJ-S2k0mn0GxVJUMGNghXybKjZtUoyHJbw2TkHH07i8ix1noSxri_D7KMV-48Fn6Q,1,1,1.0
60bbo95X9ua637OuORhNpy_t7OUZI_OTDLWONsXaj2xopykCoWwdFDYIrw6S-2_t6yCbAyZh7VFXuw,1,1,1.0
6jrMt54m1MFXLPKNEZcYpoS5Ou2ELOdhsHP4ZhpRUzYobf5cTgn3oeaaCCrj3xzYHXhqmkwoFVB2gQ,2,2,1.0
8-PxFzRE4s2s6iPk8PU24JHFVvKWF_iqWmte9KFenkeI7Uzx_zFIg0UHmuIVB5wz69iEpuQ6ujpBbg,1,0,0.0
FozVIdtJ8Z1SMJeqO0Z65dLIkcN1S3OuFvJosFOOCF2a_CKDsn57OfALj43qe_xK1Trk1L3kTf46lQ,2,2,1.0
GgWONQG9uERHfdKHwbxnBWpr8Qs0KCPjo7nu27Sd5ZOkoqmhFpGyJRmiwb0IaOpMzhKNFROAHLHTsQ,1,0,0.0
HDTpfkGZvHmEauKkvzyBBCUl9NtVWa8uxVaBQyo2S6smGBJUJVV-dYqlw8LbAq845mjYddSLNIo48w,1,1,1.0
Hv7y8z7Vf7f4wRdfwik7s5NoLWuxZAw1Q6hCf7TiWnsW3OVP5jTFLIa19h8fRn_1mdkgNtWCfZWCgQ,3,0,0.0
IEhFvBm4MMNmXSXs1Mzm_PQJ0mY4cddmobmmG1M1FMODeebCWAHHJ_acTN0kmDwKBva7lu6zfdTtJw,1,1,1.0
JIV5cQ_0ZgOpOTTdiwFQ6QOX8tuhT4iAxsfS2SRCw3fNqGLvjRRQfKKdgL7srgApYm1wX5rVNKzJzQ,3,1,0.3333333333333333
KEFAYTebmjaGScHxK8xQHt66XrznWlHriEhsq35jJD1d9u0ESoJF4tXc6AL8cA4KGAHhM-pO7pv-yw,1,1,1.0
M7XdPvmwiZ-hZCcqmTmX7rxD6J_SOVH_WbCIna-iNUEKn4qywfSxjisXwlXHfvDXRVlnwHbknnfPvQ,1,0,0.0
O6tUkM4Qw_PkgcCYop8_hClyzq0-8DO_m45j4TguAwa0S9SzKMl2DGcB0jJkzIgGHHFHhanhQMMF9g,1,0,0.0
T4NxY45p0tfnxv-A8u3cfnVerL8zTfpVzH7Q3rdPDftLWSyrW5to3MlZLWCyA2qokEeNKHpGppbE3Q,1,0,0.0
